,torque,time_constant
0,0.07,0.03970071111111107
1,0.07,0.058174577777777646
2,0.07,0.07684831111111141
3,0.14,0.04841201666666642
4,0.14,0.04871341111111067
5,0.14,0.04582289999999903
6,0.21,0.0505279333333333
7,0.21,0.04547406666666672
8,0.21,0.04585511666666727
9,0.28,0.04388705000000003
10,0.28,0.04274579444444488
11,0.28,0.04185957777777805
12,0.35,0.04403499999999963
13,0.35,0.042034961111111
14,0.35,0.04159822777777785
15,0.42,0.04117921111111097
16,0.42,0.04360806666666709
17,0.42,0.04912818888888889
18,0.49,0.04718679444444452
19,0.49,0.041653472222222425
20,0.49,0.042727888888888704
21,0.56,0.0420510444444448
22,0.56,0.04110086666666726
23,0.56,0.04072071111111061
24,0.63,0.0403540055555548
25,0.63,0.04394504444444511
26,0.63,0.05035681111111185
27,0.7,0.04066944999999982
28,0.7,0.040718883333333226
29,0.7,0.0410055055555557
30,0.84,0.03964329444444495
31,0.84,0.03922617222222242
32,0.84,0.039965933333332766
33,0.97,0.043083066666666364
34,0.97,0.03912576111111172
35,0.97,0.03969483888888892
36,1.11,0.03874068333333335
37,1.11,0.03903082777777792
38,1.11,0.045175122222222336
39,1.25,0.038720122222221764
40,1.25,0.03920886666666659
41,1.25,0.03870156666666583
42,1.39,0.041607188888888876
43,1.39,0.03871415000000016
44,1.39,0.038925805555555616
45,2.09,0.038909627777777504
46,2.09,0.03871255555555608
47,2.09,0.03836325555555516
48,13.93,0.04747516111111071
49,13.93,0.042832077777777804
50,13.93,0.042751038888888905
51,2.79,0.0440800944444445
52,2.79,0.038886755555555604
53,2.79,0.039711644444444576
54,3.48,0.03951560555555525
55,3.48,0.039113472222221425
56,3.48,0.04301132222222225
57,4.18,0.03849231111111139
58,4.18,0.040327222222222625
59,4.18,0.03916221666666727
60,4.87,0.03911363888888905
61,4.87,0.03810640000000046
62,4.87,0.038316261111111714
63,5.57,0.039367038888889226
64,5.57,0.04243357777777806
65,5.57,0.0393345833333329
66,6.27,0.038718494444444945
67,6.27,0.038491483333333854
68,6.27,0.1056730388888894
69,6.96,0.03881701111111092
70,6.96,0.039124733333333876
71,6.96,0.0382465722222221
72,8.36,0.0409360333333327
73,8.36,0.0432481444444447
74,8.36,0.040853605555555776
75,9.75,0.041771544444444225
76,9.75,0.04131605555555614
77,9.75,0.04107130555555491
78,11.14,0.04228321111111091
79,11.14,0.043763949999999725
80,11.14,0.04093943333333305
81,12.53,0.040573694444445
82,12.53,0.04154950000000035
83,12.53,0.04135177222222167
