,spring_id,torque_amplitude,stiffness
0,4,0.5,13.343497165871016
1,4,0.5,13.404574788257186
2,4,0.5,13.386763615541959
3,1,1,59.827583599720086
4,4,1,8.844002121539443
5,4,1,8.993165454570095
6,4,1,9.29505560214568
7,5,1,2524.517953120468
8,5,1,2523.002092215537
9,5,1,2523.651249562566
10,1,1,59.327753581713296
11,1,1,59.398933823657636
12,2,1,2610.3022986061833
13,2,1,2615.4588506968985
14,2,1,2611.72139773283
15,3,1,72.36588630165713
16,3,1,71.90551401150478
17,3,1,71.64272289905601
18,4,1.5,4.707000806949639
19,4,1.5,3.1792993036729067
20,4,1.5,4.159910783029373
21,1,2,56.543270199213744
22,5,2,2280.2854114035435
23,5,2,2276.846691530122
24,5,2,2266.3726677847385
25,1,2,57.07553549121108
26,1,2,57.146114169520686
27,2,2,2620.31405053945
28,2,2,2622.6879748461383
29,2,2,2620.6871703676507
30,3,2,64.1114159624889
31,3,2,64.2840730599917
32,3,2,64.36635597094889
33,1,3,43.25231028250796
34,5,3,2050.3551797296377
35,5,3,2025.9944324845746
36,5,3,2013.03344509048
37,1,3,43.55978766651986
38,1,3,42.77278537535999
39,2,3,2295.997827103899
40,2,3,2638.452945871669
41,2,3,2638.5244925869088
42,3,3,14.34650937722423
43,3,3,21.23978454815236
44,3,3,18.82614836410963
45,1,4,35.28777553697612
46,1,4,27.31122032305354
47,1,4,29.5088213629808
48,2,4,1652.9456565287012
49,2,4,2108.6941598378135
50,2,4,1984.6304553479704
51,5,4,1838.867525774443
52,5,4,1821.850011628412
53,5,4,1816.6496356809425
54,2,5,1144.9136419958943
55,2,5,1079.948975350004
56,2,5,1085.0257113666933
57,5,5,1692.1878520938697
58,5,5,1661.1520239825427
59,5,5,1669.5747084641503
60,5,6,1531.0060908140165
61,5,6,1506.0333842906584
62,5,6,1506.7446234875945
63,5,7,1442.8080011186444
64,5,7,1434.848820039392
65,5,7,1420.8459508704773
66,5,8,1372.342979567896
67,5,8,1348.3462997895053
68,5,8,1346.660485069453
69,5,9,1297.8685152680723
70,5,9,1272.9122035248108
71,5,9,1267.730500054437
