,torque,rise_time,overshoot,error
0,0.07,0.5999782000000007,5.954563545700028,55.19962964903707
1,0.07,0.12107729999999872,5.130289577042076,53.66616909003575
2,0.07,0.15505070000000032,5.837905639847476,55.383540021001274
3,0.14,0.09696940000000076,1.67458466400978,45.50764512150733
4,0.14,0.09457810000000144,2.1885493944992374,47.760645521904785
5,0.14,0.09364960000000133,2.5607787724108717,49.20499202017335
6,0.21,0.09030479999999974,2.9359830799896827,38.83906732874512
7,0.21,0.08150129999999889,1.3446533805124707,38.54469205915249
8,0.21,0.09687390000000029,1.7021782762704096,37.58190676325325
9,0.28,0.08847199999999944,1.3306712361926611,38.48745372010301
10,0.28,0.0881369000000003,1.0044462085558252,39.93822954409522
11,0.28,0.08546439999999933,1.3161813490372776,37.83243520713842
12,0.35,0.07947049999999933,0.9529934559898632,36.078745713603475
13,0.35,0.08654890000000037,1.070386567544748,37.53784771577829
14,0.35,0.09370750000000072,0.9093130445730091,37.39628238151532
15,0.42,0.06415170000000048,0.7141566022905005,31.385900647881655
16,0.42,0.09075660000000019,0.42149991172197404,31.988353699680555
17,0.42,0.08936109999999964,1.065642439593108,32.458095279778554
18,0.49,0.08899439999999847,0.8674206389741861,26.76178359205111
19,0.49,0.08460689999999893,1.2162708253953336,28.003165941183173
20,0.49,0.08992270000000113,1.4863987231923115,27.336055113691167
21,0.56,0.10151220000000016,0.824203842899245,19.114476712581773
22,0.56,0.08520359999999982,0.5061144756074171,18.894237742813647
23,0.56,0.0838132999999992,0.439851641374762,18.88001995241169
24,0.63,0.08325999999999922,0.3917072224744093,19.80713273597135
25,0.63,0.083841099999999,0.7465926822904171,20.05674684310052
26,0.63,0.08097920000000025,0.5003432798833927,19.942730165015888
27,0.7,0.08311799999999936,0.6097816962197298,22.33111588847709
28,0.7,0.08207690000000101,0.2763800316195044,22.927514421309564
29,0.7,0.08237709999999998,0.43068244897720737,22.532082782448686
30,0.84,0.08175639999999929,0.25919997742429524,23.931226725495634
31,0.84,0.07314670000000012,0.26062997681790995,23.542970426149516
32,0.84,0.08165999999999896,0.40070052683961604,24.216489226299995
33,0.97,0.0885518999999988,0.2873172793008048,20.359464037729307
34,0.97,0.07978870000000171,0.4095790025837154,20.18874073331185
35,0.97,0.08155649999999959,0.4174709829220553,19.801392418009442
36,1.11,0.07803439999999995,0.28355061339899146,15.73452912622369
37,1.11,0.07948489999999886,0.29624662362446813,15.6120029867294
38,1.11,0.07870940000000104,0.0852533617356971,15.648396940662032
39,1.25,0.07802910000000063,0.2611348443375681,12.423926591372501
40,1.25,0.07821150000000054,0.2996324483117365,12.152439368035058
41,1.25,0.0788411,0.13017977714598714,12.327214293019798
42,1.39,0.07466050000000024,0.1597251161127676,2.684997497279757
43,1.39,0.07957539999999952,0.37870468798511936,2.864319376014171
44,1.39,0.08006150000000067,0.25717291681559296,3.1105450319220864
45,2.09,0.07906469999999999,0.16064632499020712,1.8402924809028547
46,2.09,0.07898529999999893,0.1790827224502284,1.3991408102819822
47,2.09,0.07820780000000127,0.10297308117391231,1.6184949280498961
48,13.93,0.08599779999999901,0.03621764687483179,4.177283814192418
49,13.93,0.08543399999999979,0.04020792633529382,5.229376639157265
50,13.93,0.08499930000000022,0.043021124519698986,5.507295961415962
51,2.79,0.07971069999999969,0.1291458095681482,-7.230436012684048
52,2.79,0.07902420000000099,0.13732494418716562,-7.550643620357318
53,2.79,0.0789232000000002,0.13213550762822387,-7.542034037226701
54,3.48,0.07830850000000034,0.15730162500577552,-5.857406291821627
55,3.48,0.07766859999999909,0.14702336647316075,-5.84133317299417
56,3.48,0.07614260000000073,0.137269832175853,-5.6262173467792875
57,4.18,0.07854129999999993,0.12913347311227946,-1.2758052639511683
58,4.18,0.07925780000000016,0.1516901861840285,-1.044725681762297
59,4.18,0.0902712000000001,0.13285092465019058,-0.9917198477316709
60,4.87,0.07852930000000091,0.11344101295287534,0.8019006772522683
61,4.87,0.07812909999999995,0.12751073009437208,1.0051131732901366
62,4.87,0.07787509999999997,0.12935359941404914,1.0189118195625246
63,5.57,0.07941939999999903,0.1006671821807865,-2.285876101167921
64,5.57,0.07039870000000015,0.08669013852752047,-2.3924786428513154
65,5.57,0.07851610000000031,0.09141962767740615,-2.407802753187103
66,6.27,0.08027229999999941,0.15664179982065202,-3.8775952845324126
67,6.27,0.07922639999999959,0.0956280591630012,-3.7913253046495883
68,6.27,0.09227229999999942,0.11093700579726803,-3.7078703725120907
69,6.96,0.0787513999999998,0.12202632632221577,-2.101698694913259
70,6.96,0.07827110000000026,0.11221708981715822,-2.262403325812843
71,6.96,0.07788919999999999,0.141152066484216,-2.3313915364363926
72,8.36,0.08215120000000065,0.11495013062350692,-6.755025813272397
73,8.36,0.08248099999999914,0.07883954341220639,-7.093398678695488
74,8.36,0.08062820000000048,0.08223976257847626,-7.434888114028729
75,9.75,0.08115180000000066,0.08960620256827576,-3.0287869574380313
76,9.75,0.08036240000000028,0.08046637544661625,-2.9735276351358597
77,9.75,0.07018120000000128,0.06571601485829469,-2.851578607795473
78,11.14,0.0858174000000016,0.03371331507857599,1.861769545787938
79,11.14,0.0868468,0.0740456825103852,0.7050360491123107
80,11.14,0.08215850000000069,0.0455204317515602,0.4134940008862672
81,12.53,0.08194240000000086,0.0897317937500445,3.221775768985139
82,12.53,0.08364579999999933,0.06644148097027047,2.7327521112458792
83,12.53,0.08330259999999967,0.05473116288763896,2.702069374963525
