,torque,bandwidth
0,0.1,3.5248325087712646
1,0.1,1.299940257995593
2,0.1,1.099971705977793
3,0.25,17.42444185156639
4,0.25,14.349823891786288
5,0.25,16.799483499879795
6,0.5,21.87459723397843
7,0.5,22.12411569909551
8,0.5,11.37445160925179
9,0.75,17.649520947877672
10,0.75,18.419939397949506
11,0.75,18.299909278199753
12,1.0,17.324175715719445
13,1.0,17.39945635398622
14,1.0,17.974689756854794
15,1.25,17.99938496101588
16,1.25,30.32442808128639
17,1.25,22.373749810794948
18,1.5,15.049211233216242
19,1.5,17.468342989170257
20,1.5,15.82451901374458
21,2.0,17.924288450559235
22,2.0,10.79957541469257
