,torque,bandwidth
0,0.1,0.4199995203605478
1,0.1,1.2499763004493434
2,0.1,1.0699812528584687
3,0.2,2.8799531143632984
4,0.2,1.3499228586582421
5,0.2,0.7899829102997015
6,0.3,2.5399579306767945
7,0.3,2.6199497284046114
8,0.3,3.0599576838451905
9,0.4,5.609997425011182
10,0.4,8.049820794889465
11,0.4,6.709860710001521
12,0.5,9.638934974796765
13,0.5,8.129811802986573
14,0.5,9.379791534133155
15,1.0,7.919954000907163
16,1.0,8.269915233368858
17,1.0,10.319787979955953
18,2.0,4.499755186319334
19,2.0,7.269984631252489
20,2.0,6.0099353691550395
21,3.0,5.209984729534757
22,3.0,5.169751345299794
23,3.0,4.759937949448891
